Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities
AShell,local_repos/AShell,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']"
pyWhat,local_repos/pyWhat,Yes,,SQL Injection,"This repository provides lfi/rfi, ssrf, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'SQL Injection']"
DataDog_security-labs-pocs,local_repos/DataDog_security-labs-pocs,Yes,,"RCE, Privilege Escalation","This repository provides lfi/rfi, ssrf, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal', 'SQL Injection', 'XSS']"
C0deVari4nt,local_repos/C0deVari4nt,No,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS', 'SQL Injection', 'Deserialization']"
SomeTools,local_repos/SomeTools,No,,SQL Injection,"This repository provides sql injection, path traversal, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Path Traversal', 'Header Injection', 'SSRF']"
sgn,local_repos/sgn,Yes,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE']"
ragflow,local_repos/ragflow,Yes,,"RCE, RFI","This repository provides ssrf, rce, deserialization proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'Deserialization', 'LFI/RFI', 'SQL Injection', 'XSS', 'Header Injection', 'Path Traversal']"
tech-interview-handbook,local_repos/tech-interview-handbook,No,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']"
sharesearch,local_repos/sharesearch,No,,RCE,"This repository provides sql injection, xss, path traversal proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'Path Traversal']"
xray-weblisten-ui,local_repos/xray-weblisten-ui,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'SSRF']"
Argus-SAF,local_repos/Argus-SAF,No,,RCE,"This repository provides rce, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'XSS', 'Path Traversal']"
burpproxypacextension,local_repos/burpproxypacextension,No,,RCE,"This repository provides sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS']"
AUPK,local_repos/AUPK,No,,RCE,"This repository provides rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI']"
LBot,local_repos/LBot,No,,"RCE, XSS","This repository provides ssrf, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'Header Injection', 'XSS']"
zmirror,local_repos/zmirror,No,,RCE,"This repository provides sql injection, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'XSS', 'LFI/RFI', 'Deserialization', 'Header Injection', 'Path Traversal', 'RCE']"
blockstack,local_repos/blockstack,Yes,6270,RCE,"This repository provides rce, ssrf proof-of-concept with Docker deployment on port 6270 demonstrating web-based attack vectors.","['RCE', 'SSRF']"
CVE-2022-28346,local_repos/CVE-2022-28346,No,,SQL Injection,This repository provides sql injection proof-of-concept demonstrating web-based attack vectors.,['SQL Injection']
kivy_python-for-android,local_repos/kivy_python-for-android,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'SQL Injection', 'Header Injection']"
evil-ssdp,local_repos/evil-ssdp,No,,"RCE, Header Injection","This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal']"
OSTrICa,local_repos/OSTrICa,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Header Injection', 'RCE', 'Path Traversal', 'SSRF']"
opencve,local_repos/opencve,Yes,,RCE,"This repository provides lfi/rfi, sql injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'RCE', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection']"
Hades,local_repos/Hades,Yes,8088,"RCE, SQL Injection","This repository provides rce, sql injection, ssrf proof-of-concept with Docker deployment on port 8088 demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'SSRF', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'XSS']"
hopper-plugins,local_repos/hopper-plugins,No,,RFI,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI']
witsy,local_repos/witsy,No,,SQL Injection,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'SSRF', 'Header Injection', 'Path Traversal']"
googleprojectzero_domato,local_repos/googleprojectzero_domato,No,,RCE,"This repository provides lfi/rfi, xss, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'RCE', 'SSRF']"
f3liiix_nav-site,local_repos/f3liiix_nav-site,Yes,6379,RCE,"This repository provides rce, ssrf proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['RCE', 'SSRF']"
Linux-Kodachi,local_repos/Linux-Kodachi,No,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE', 'Path Traversal', 'XSS', 'SQL Injection']"
pocGoby2Xray,local_repos/pocGoby2Xray,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'XSS', 'SQL Injection', 'Header Injection']"
AoiAWD,local_repos/AoiAWD,Yes,27017,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 27017 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'SSRF', 'XSS']"
mastra,local_repos/mastra,Yes,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'Path Traversal', 'SSRF', 'RCE', 'SQL Injection', 'Deserialization']"
ReDoSHunter,local_repos/ReDoSHunter,No,,RCE,"This repository provides lfi/rfi, rce, deserialization proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Deserialization', 'XSS', 'Path Traversal', 'SQL Injection']"
BurpSuiteHTTPSmuggler,local_repos/BurpSuiteHTTPSmuggler,No,,XSS,"This repository provides lfi/rfi, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'XSS']"
darkflare,local_repos/darkflare,No,,"RCE, Auth Bypass","This repository provides header injection, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'SQL Injection', 'RCE']"
XLsn0w_Cydiapps,local_repos/XLsn0w_Cydiapps,No,,"RCE, LFI","This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'SSRF']"
SNIcat,local_repos/SNIcat,No,,RCE,"This repository provides lfi/rfi, rce, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SQL Injection']"
deepchat,local_repos/deepchat,No,,RCE,"This repository provides rce, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'XSS', 'Path Traversal', 'SQL Injection', 'Header Injection', 'SSRF']"
TEN-framework_TEN-Agent,local_repos/TEN-framework_TEN-Agent,Yes,,"RCE, RFI","This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
spring-cloud-tutorial,local_repos/spring-cloud-tutorial,No,,SSRF,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal']"
xinliangnote_go-gin-api,local_repos/xinliangnote_go-gin-api,Yes,9999/tcp,RCE,"This repository provides ssrf, header injection, xss proof-of-concept with Docker deployment on port 9999/tcp demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'XSS', 'SQL Injection', 'LFI/RFI', 'RCE']"
dracon,local_repos/dracon,Yes,,RCE,"This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Header Injection', 'SSRF', 'XSS', 'Path Traversal']"
aggressor-scripts,local_repos/aggressor-scripts,No,,RCE,"This repository provides xss, ssrf, header injection proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal']"
astral-sh_uv,local_repos/astral-sh_uv,Yes,,RCE,"This repository provides lfi/rfi, path traversal, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'RCE', 'SSRF', 'Header Injection', 'SQL Injection']"
rootm0s_WinPwnage,local_repos/rootm0s_WinPwnage,No,,RCE,"This repository provides rce, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SQL Injection']"
xsscrapy,local_repos/xsscrapy,No,,"RCE, SQL Injection","This repository provides sql injection, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'RCE', 'SSRF', 'Header Injection']"
Ap0k4L1p5hub.io,local_repos/Ap0k4L1p5hub.io,No,,RCE,"This repository provides xss, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'RCE']"
easyconn-socks5-for-HITsz,local_repos/easyconn-socks5-for-HITsz,Yes,,Web Application,Security research repository - easyconn-socks5-for-HITsz,[]
CAS_EXP,local_repos/CAS_EXP,No,,RCE,"This repository provides ssrf, deserialization, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Deserialization', 'RCE', 'Header Injection']"
ddzipp_AutoAudit,local_repos/ddzipp_AutoAudit,No,,"RCE, SQL Injection","This repository provides lfi/rfi, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'SSRF', 'Path Traversal', 'RCE']"
raider,local_repos/raider,Yes,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'SSRF', 'RCE']"
VainlyStrain_Vailyn,local_repos/VainlyStrain_Vailyn,Yes,,"RCE, LFI","This repository provides lfi/rfi, path traversal, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'RCE', 'SSRF']"
trickest_cve,local_repos/trickest_cve,No,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'Path Traversal', 'Deserialization', 'SQL Injection', 'RCE', 'SSRF']"
dust,local_repos/dust,Yes,6379,RCE,"This repository provides ssrf, lfi/rfi, rce proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'RCE', 'XSS', 'Path Traversal', 'Header Injection', 'SQL Injection']"
QAnything,local_repos/QAnything,Yes,,"RCE, RFI","This repository provides rce, ssrf, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SSRF', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal', 'XSS']"
yinghuocho_firefly-proxy,local_repos/yinghuocho_firefly-proxy,No,,RCE,"This repository provides lfi/rfi, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'XSS', 'SQL Injection', 'RCE']"
git-all-secrets,local_repos/git-all-secrets,Yes,,"RCE, RFI","This repository provides lfi/rfi, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE']"
saasfly,local_repos/saasfly,No,,RCE,"This repository provides rce, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'LFI/RFI', 'Header Injection']"
s7ckTeam_LeakFinder,local_repos/s7ckTeam_LeakFinder,No,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE']"
DeepFaceLive,local_repos/DeepFaceLive,Yes,,RCE,"This repository provides rce, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'SSRF', 'Deserialization', 'XSS', 'SQL Injection', 'LFI/RFI']"
rabobank-cdc_DeTTECT,local_repos/rabobank-cdc_DeTTECT,Yes,8080/tcp,RCE,"This repository provides sql injection, deserialization, lfi/rfi proof-of-concept with Docker deployment on port 8080/tcp demonstrating web-based attack vectors.","['SQL Injection', 'Deserialization', 'LFI/RFI', 'Header Injection', 'RCE', 'SSRF', 'XSS', 'Path Traversal']"
nscuro_fdnssearch,local_repos/nscuro_fdnssearch,Yes,,RCE,"This repository provides lfi/rfi, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE']"
rpc2socks,local_repos/rpc2socks,No,,RCE,"This repository provides rce, sql injection, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'Header Injection']"
Web-App-Hacking-Notes,local_repos/Web-App-Hacking-Notes,No,,SQL Injection,"This repository provides xss, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SSRF', 'LFI/RFI', 'Header Injection', 'SQL Injection']"
Medusa,local_repos/Medusa,Yes,,Auth Bypass,"This repository provides header injection, sql injection, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'SQL Injection', 'XSS', 'RCE', 'SSRF', 'Path Traversal', 'LFI/RFI']"
brevityrecon,local_repos/brevityrecon,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'SQL Injection']"
bannedbook_fanqiang,local_repos/bannedbook_fanqiang,No,,RCE,"This repository provides rce, header injection, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'SSRF', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'XSS']"
tools.tldr.run,local_repos/tools.tldr.run,Yes,8080,RCE,"This repository provides xss, ssrf, lfi/rfi proof-of-concept with Docker deployment on port 8080 demonstrating web-based attack vectors.","['XSS', 'SSRF', 'LFI/RFI', 'Path Traversal']"
hunter,local_repos/hunter,Yes,,RCE,"This repository provides xss, ssrf, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'SSRF', 'SQL Injection', 'RCE', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']"
knownsec_ksubdomain,local_repos/knownsec_ksubdomain,No,,RCE,"This repository provides sql injection, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Path Traversal', 'LFI/RFI']"
LinWin-Cloud_setool-master,local_repos/LinWin-Cloud_setool-master,Yes,,RCE,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
JOYCEQL_magic-resume,local_repos/JOYCEQL_magic-resume,Yes,3000,RCE,This repository provides ssrf proof-of-concept with Docker deployment on port 3000 demonstrating web-based attack vectors.,['SSRF']
justdelete.me,local_repos/justdelete.me,No,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'Path Traversal', 'Header Injection', 'RCE']"
webssh,local_repos/webssh,Yes,8888,RCE,"This repository provides ssrf, sql injection, header injection proof-of-concept with Docker deployment on port 8888 demonstrating web-based attack vectors.","['SSRF', 'SQL Injection', 'Header Injection', 'XSS', 'RCE', 'LFI/RFI']"
ycosine_DataVistual,local_repos/ycosine_DataVistual,No,,XSS,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS']"
typescript-go,local_repos/typescript-go,No,,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'Path Traversal', 'SQL Injection', 'XSS', 'Deserialization']"
weakfilescan,local_repos/weakfilescan,No,,RCE,"This repository provides ssrf, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization', 'SQL Injection', 'RCE', 'XSS']"
dockge,local_repos/dockge,Yes,,XSS,"This repository provides lfi/rfi, ssrf, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'XSS']"
ehForwarderBot,local_repos/ehForwarderBot,No,,RCE,"This repository provides rce, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'XSS', 'Deserialization', 'Header Injection']"
osslsigncode,local_repos/osslsigncode,Yes,,RCE,"This repository provides rce, sql injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF']"
pwnagotchi,local_repos/pwnagotchi,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS', 'Header Injection']"
WIKI-POC,local_repos/WIKI-POC,No,,RCE,"This repository provides path traversal, lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'LFI/RFI', 'RCE', 'Header Injection', 'SSRF', 'XSS', 'SQL Injection']"
kiwi,local_repos/kiwi,No,,RCE,"This repository provides rce, deserialization, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Deserialization', 'Header Injection', 'SQL Injection', 'XSS', 'Path Traversal']"
calico,local_repos/calico,Yes,,RCE,"This repository provides lfi/rfi, header injection, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal', 'RCE', 'SSRF']"
project-morya,local_repos/project-morya,No,,"RCE, XSS","This repository provides rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal']"
kubernetes-goat,local_repos/kubernetes-goat,Yes,,"RCE, SSRF","This repository provides rce, ssrf, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection']"
k9s,local_repos/k9s,Yes,,"RCE, RFI","This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'Header Injection', 'Path Traversal', 'SQL Injection', 'XSS']"
oletools,local_repos/oletools,No,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'SQL Injection', 'RCE', 'Path Traversal']"
arch4edu_arch4edu,local_repos/arch4edu_arch4edu,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection']"
docker-image,local_repos/docker-image,Yes,,RCE,"This repository provides header injection, lfi/rfi, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'RCE', 'SSRF', 'XSS', 'SQL Injection', 'Path Traversal']"
daniel-cues_NMapGUI,local_repos/daniel-cues_NMapGUI,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'XSS']"
gap,local_repos/gap,No,,Auth Bypass,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF']
cdn-proxy,local_repos/cdn-proxy,No,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'XSS']"
dbccccccc_ttsfm,local_repos/dbccccccc_ttsfm,Yes,8000,RCE,"This repository provides lfi/rfi, ssrf, sql injection proof-of-concept with Docker deployment on port 8000 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'SQL Injection', 'RCE', 'Header Injection', 'XSS']"
Ehoney,local_repos/Ehoney,Yes,8082,RCE,"This repository provides rce, xss, ssrf proof-of-concept with Docker deployment on port 8082 demonstrating web-based attack vectors.","['RCE', 'XSS', 'SSRF', 'Header Injection', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']"
setool-master,local_repos/setool-master,Yes,,RCE,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
repo-supervisor,local_repos/repo-supervisor,Yes,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection']"
kb,local_repos/kb,Yes,7,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 7 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'Header Injection']"
NMapGUI,local_repos/NMapGUI,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'XSS']"
netsquare_BrowserBruter,local_repos/netsquare_BrowserBruter,Yes,,"RCE, SQL Injection","This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Path Traversal', 'Header Injection', 'Deserialization']"
PoC,local_repos/PoC,No,,RCE,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'Header Injection', 'RCE', 'Deserialization', 'SQL Injection', 'SSRF']"
MMall_JAVA,local_repos/MMall_JAVA,No,,RCE,"This repository provides ssrf, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection']"
eboda_35c3,local_repos/eboda_35c3,Yes,,RCE,"This repository provides sql injection, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'SSRF', 'XSS', 'Deserialization']"
noobpk_frida-ios-hook,local_repos/noobpk_frida-ios-hook,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SSRF', 'SQL Injection', 'Path Traversal']"
unblob,local_repos/unblob,Yes,,RCE,"This repository provides rce, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'LFI/RFI', 'SQL Injection']"
Archlinux-Installer,local_repos/Archlinux-Installer,No,,RCE,"This repository provides rce, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'XSS']"
hakrawler,local_repos/hakrawler,Yes,,RCE,"This repository provides lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF']"
Setool-Main,local_repos/Setool-Main,No,,RCE,"This repository provides rce, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'SSRF', 'Header Injection', 'LFI/RFI', 'Path Traversal']"
MS-WEB-BN_c41n,local_repos/MS-WEB-BN_c41n,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection']"
allsafe,local_repos/allsafe,No,,"RCE, SQL Injection","This repository provides deserialization, sql injection proof-of-concept demonstrating web-based attack vectors.","['Deserialization', 'SQL Injection']"
programster_Apaxy,local_repos/programster_Apaxy,Yes,8080,XSS,"This repository provides ssrf, xss proof-of-concept with Docker deployment on port 8080 demonstrating web-based attack vectors.","['SSRF', 'XSS']"
searx-with-dnscrypt,local_repos/searx-with-dnscrypt,Yes,8888,"RCE, RFI","This repository provides ssrf, rce proof-of-concept with Docker deployment on port 8888 demonstrating web-based attack vectors.","['SSRF', 'RCE']"
inject-sec-to-devops,local_repos/inject-sec-to-devops,Yes,,RCE,"This repository provides lfi/rfi, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS']"
novel,local_repos/novel,No,,RCE,"This repository provides header injection, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF']"
uncover-turbo,local_repos/uncover-turbo,No,,RCE,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI']
h4fan_bpext,local_repos/h4fan_bpext,No,,"SQL Injection, XSS","This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'SSRF']"
learning-react,local_repos/learning-react,No,,SQL Injection,"This repository provides ssrf, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Path Traversal', 'XSS', 'Header Injection', 'SQL Injection']"
defparam_smuggler,local_repos/defparam_smuggler,No,,RCE,"This repository provides lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE']"
speedtest-exporter,local_repos/speedtest-exporter,Yes,5000,Web Application,Security research repository - speedtest-exporter,[]
mrseedbox,local_repos/mrseedbox,Yes,,"RCE, RFI","This repository provides sql injection, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'LFI/RFI', 'RCE', 'XSS']"
knary,local_repos/knary,Yes,8,"RCE, RFI","This repository provides rce, lfi/rfi, header injection proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'SSRF']"
mobilePillowTalkLite,local_repos/mobilePillowTalkLite,No,,RCE,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'SQL Injection', 'Header Injection', 'Path Traversal', 'Deserialization', 'SSRF']"
